accDefRate,accExamCnt,accExamCompCnt,careCnt,clearCnt,createDt,deathCnt,decideCnt,examCnt,resutlNegCnt,seq,stateDt,stateTime,updateDt
0.402241057,7519,6961,21,7,00:00.0,0,28,558,6933,27,20200215,16:00,30:51.5
0.443108087,6854,6319,21,7,00:00.0,0,28,535,6291,26,20200214,16:00,30:51.5
0.534861509,5797,5235,21,7,00:00.0,0,28,562,5207,25,20200213,16:00,30:51.5
0.652832828,5074,4289,24,4,00:00.0,0,28,785,4261,24,20200212,16:00,30:51.5
0.976630624,3629,2867,24,4,00:00.0,0,28,762,2839,23,20200211,16:00,30:51.5
1.247216036,2776,2245,25,3,00:00.0,0,28,531,2217,22,20200210,16:00,30:51.5
1.859504132,2340,1452,25,2,00:00.0,0,27,888,1425,21,20200209,16:00,30:51.5
2.220166512,1701,1081,22,2,00:00.0,0,24,620,1057,20,20200208,16:00,30:51.5
2.98879203,1130,803,22,2,00:00.0,0,24,327,779,19,20200207,16:00,30:51.5
3.351955307,885,716,24,0,00:00.0,0,24,169,692,18,20200206,9:00,30:51.5
3.115727003,714,674,21,0,00:00.0,0,21,40,653,17,20200205,19:00,30:51.5
2.635914333,607,607,16,0,00:00.0,0,16,0,591,16,20200204,0:00,30:51.5
3.06122449,490,490,15,0,00:00.0,0,15,0,475,15,20200203,0:00,30:51.5
3.496503497,429,429,15,0,00:00.0,0,15,0,414,14,20200202,0:00,30:51.5
3.234501348,371,371,12,0,00:00.0,0,12,0,359,13,20200201,0:00,30:51.5
3.28358209,335,335,11,0,00:00.0,0,11,0,324,12,20200131,0:00,30:51.5
2.545454545,275,275,7,0,00:00.0,0,7,0,268,11,20200130,0:00,30:51.5
1.923076923,208,208,4,0,00:00.0,0,4,0,204,10,20200129,0:00,30:51.5
2.919708029,137,137,4,0,00:00.0,0,4,0,133,9,20200128,0:00,30:51.5
4.761904762,84,84,4,0,00:00.0,0,4,0,80,8,20200127,10:00,30:51.5
5.357142857,56,56,3,0,00:00.0,0,3,0,53,7,20200126,9:00,30:51.5
4.255319149,47,47,2,0,00:00.0,0,2,0,45,6,20200125,0:00,30:51.5
6.896551724,29,29,2,0,00:00.0,0,2,0,27,5,20200124,0:00,30:51.5
4,25,25,1,0,00:00.0,0,1,0,24,4,20200123,9:00,30:51.5
4.761904762,21,21,1,0,00:00.0,0,1,0,20,3,20200122,12:00,30:51.5
6.666666667,15,15,1,0,00:00.0,0,1,0,14,2,20200121,9:00,30:51.5
25,4,4,1,0,00:00.0,0,1,0,3,1,20200120,17:00,30:51.5
